Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.846953    5865 event.go:389] "Event occurred" object="kube-system/traefik-crd" fieldPath="" kind="HelmChart" apiVersion="helm.cattle.io/v1" type="Normal" reason="ApplyJob" message="Applying HelmChart using Job kube-system/helm-install-traefik-crd"
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.868303    5865 secure_serving.go:211] Serving securely on 127.0.0.1:10259
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.869344    5865 requestheader_controller.go:180] Starting RequestHeaderAuthRequestController
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.869908    5865 shared_informer.go:370] "Waiting for caches to sync"
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.870049    5865 dynamic_serving_content.go:135] "Starting controller" name="serving-cert::/var/lib/rancher/k3s/server/tls/kube-scheduler/kube-scheduler.crt::/var/lib/rancher/k3s/server/tls/kube-scheduler/kube-scheduler.key"
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.870467    5865 tlsconfig.go:243] "Starting DynamicServingCertificateController"
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.898190    5865 configmap_cafile_content.go:205] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.898364    5865 shared_informer.go:370] "Waiting for caches to sync"
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.898395    5865 configmap_cafile_content.go:205] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file"
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.898438    5865 shared_informer.go:370] "Waiting for caches to sync"
Feb 21 00:06:41 control k3s[5865]: I0221 00:06:41.080444    5865 iptables.go:358] bootstrap done
Feb 21 00:06:41 control k3s[5865]: I0221 00:06:41.088495    5865 event.go:389] "Event occurred" object="kube-system/traefik" fieldPath="" kind="HelmChart" apiVersion="helm.cattle.io/v1" type="Normal" reason="ApplyJob" message="Applying HelmChart using Job kube-system/helm-install-traefik"
